created_at,text
2021-12-04 4:21:31,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:21:30,RT @livschaIamet: something about phoebe bridgers wearing olivia rodrigo sour merch pleases me so https://t.co/bYnf1CmEsu
2021-12-04 4:21:04,RT @olivyuhrodrigo: olivia rodrigo deserves everything good in the world. #WELOVEYOUOLIVIA https://t.co/FQH4vPs9j1
2021-12-04 4:20:45,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:20:42,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:20:38,RT @jaehyunsour: drop #WELOVEYOUOLIVIA if you love Olivia Rodrigo! https://t.co/KmLqh7sOf6
2021-12-04 4:20:32,"RT @remswift13: hi im not new but im a flop. rt if u like 

sabrina carpenter 
madison beer
ariana grande
taylor swift
joshua basset
olivia…"
2021-12-04 4:20:18,"@lvdrxy @convomfs Mjb, jealousy jealousy - olivia rodrigo"
2021-12-04 4:20:17,"RT @Spicytraitor: Olivia Rodrigo:
         😐
        ≤))≥
         / \ 
       /     \                    Me:
     /         \…"
2021-12-04 4:20:14,RT @Bri_officialx: How come it’s okay for Olivia Rodrigo to put out songs expressing herself but when Joshua Bassett or Sabrina Carpenter d…
2021-12-04 4:19:49,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:19:21,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 4:19:17,RT @Stfuarslan: Joshua Basset might have been perceived as the villain in the Olivia Rodrigo and his tumultuous relationship but after hear…
2021-12-04 4:19:13,"RT @swimwithdevils: if u have phoebe bridgers, taylor swift, mitski, halsey, lorde, or olivia rodrigo in ur spotify wrapped top 5 artists p…"
2021-12-04 4:19:05,RT @ohpinkylove: she’s giving jennie/olivia rodrigo vibes idk why https://t.co/HNg7Pt56zZ
2021-12-04 4:19:01,"RT @RocketPunch: [🎥] [#JURIFUL_DAYS 3] EP.4 JURI (쥬리) - drivers license Cover (원곡: Olivia Rodrigo)

▶ https://t.co/fZstHs5JLr
▶ https://t.c…"
2021-12-04 4:18:52,"RT @mslizzieforbes: It took Olivia Rodrigo more than 8 months to say ‘don’t send death threats’.
Joshua Bassett and Sabrina Carpenter have…"
